-576	306	425
60	311	-429
-3	264	-483
-87	243	-492
-188	184	-498
-237	166	-491
-231	143	-507
-210	121	-528
-191	99	-545
-180	97	-549
-155	132	-544
-128	222	-508
-123	276	-472
-141	355	-392
-253	420	-208
-252	455	-108
-239	463	3
-241	424	110
-261	399	138
-298	359	152
-433	125	215
-356	83	291
-241	-32	372
-199	-89	404
-39	-85	510
79	-98	595
318	-392	486
378	-498	285
347	-465	118
364	-463	-2
388	-489	-163
384	-451	-317
360	-420	-389
354	-382	-429
342	-335	-471
321	-332	-487
299	-279	-519
258	-230	-554
166	-186	-589
119	-182	-600
73	-196	-603
20	-181	-604
-3	-131	-603
-87	-221	-588
-185	-189	-566
-279	-70	-524
-321	110	-454
-247	316	-369
-125	479	-190
-48	512	-64
10	500	37
40	464	115
30	438	148
-27	459	100
-146	477	-41
-161	436	-253
-139	333	-411
-62	65	-583
44	-119	-612
45	-294	-585
52	-411	-534
132	-518	-438
256	-564	-300
399	-495	-77
414	-423	54
364	-377	160
273	-327	259
-67	-30	431
-233	141	364
-278	286	246
-253	404	93
-252	413	55
-222	434	39
-210	448	-22
-231	434	-92
-250	426	-57
-271	402	-156
-303	328	-268
-325	280	-307
-331	237	-349
-331	199	-377
-321	136	-425
-319	106	-443
-310	89	-456
-324	114	-431
-343	104	-422
-358	19	-438
-300	-247	-483
5	-446	-515
192	-473	-481
238	-478	-459
324	-438	-440
423	-332	-431
447	-207	-455
338	-49	-529
298	-36	-545
269	50	-537
253	104	-523
258	141	-504
259	159	-496
246	195	-481
215	222	-473
143	259	-469
44	272	-471
-103	230	-480
-118	206	-492
-116	158	-518
-68	23	-577
-105	-24	-579
-98	46	-570
-9	57	-579
-28	3	-589
-66	-18	-590
-60	27	-579
-81	80	-559
-104	56	-560
-126	-48	-573
-109	-262	-565
-34	-317	-567
33	-351	-561
97	-353	-558
108	-342	-562
-238	-278	-511
-323	-35	-474
-193	248	-433
-44	298	-444
59	231	-502
95	159	-541
83	134	-554
91	22	-589
43	-112	-604
-81	-248	-579
-226	-233	-526
-263	-232	-507
-319	-172	-477
-378	-124	-425
-437	-96	-352
-498	-12	-218
-481	147	9
-411	171	168
-506	172	324
-205	163	351
-155	141	379
-181	66	391
-207	-18	394
-245	-192	357
-261	-221	341
-285	-280	303
-288	-337	274
-248	-411	250
-150	-569	139
-72	-634	45
47	-659	-19
193	-646	-80
255	-626	-94
152	-657	-65
110	-669	-152
67	-660	-242
-49	-631	-306
-126	-453	-486
-204	-288	-531
-251	-141	-528
-315	52	-455
-342	168	-368
-320	261	-308
-261	360	-219
-183	429	-124
-182	432	-22
-240	366	109
-282	297	175
-335	200	209
-373	78	234
-373	-13	252
-344	-85	281
-304	-99	302
-280	-53	320
-233	62	355
-309	378	-18
-239	368	-271
-195	112	-521
-137	-247	-572
-199	-522	-387
-253	-582	-216
-287	-566	-2
-243	-496	185
-160	-362	336
-65	-233	406
-333	98	277
-379	175	184
-336	265	158
-269	324	162
-142	424	99
-181	425	60
-206	426	-109
-217	386	-234
-175	318	-373
-244	166	-461
-266	162	-449
-339	20	-461
-298	-188	-507
-279	-263	-503
-301	-280	-483
-242	-328	-508
-121	-364	-548
-73	-360	-561
-13	-305	-585
